As at 31st March 2022,Comment,Value
percentage-of-companies-aged-less-than-1-year,total-register,14.39
percentage-of-companies-aged-1-4-years,total-register,36.14
percentage-of-companies-aged-5-9-years,total-register,21.55
percentage-of-companies-aged-10-14-years,total-register,10.25
percentage-of-companies-aged-15-19-years,total-register,7.53
percentage-of-companies-aged-20-24-years,total-register,3.64
percentage-of-companies-aged-25-29-years,total-register,1.85
percentage-of-companies-aged-30-34-years,total-register,1.33
percentage-of-companies-aged-35-39-years,total-register,1.0
percentage-of-companies-aged-40-44-years,total-register,0.59
percentage-of-companies-aged-45-49-years,total-register,0.44
percentage-of-companies-aged-more-than-50-years,total-register,1.29
average-age-of-companies-years,total-register,8.58
percentage-of-companies-aged-less-than-1-year,in-liquidation/course-of-dissolution,1.72
percentage-of-companies-aged-1-4-years,in-liquidation/course-of-dissolution,50.63
percentage-of-companies-aged-5-9-years,in-liquidation/course-of-dissolution,23.9
percentage-of-companies-aged-10-14-years,in-liquidation/course-of-dissolution,8.5
percentage-of-companies-aged-15-19-years,in-liquidation/course-of-dissolution,5.21
percentage-of-companies-aged-20-24-years,in-liquidation/course-of-dissolution,2.42
percentage-of-companies-aged-25-29-years,in-liquidation/course-of-dissolution,1.33
percentage-of-companies-aged-30-34-years,in-liquidation/course-of-dissolution,1.56
percentage-of-companies-aged-35-39-years,in-liquidation/course-of-dissolution,1.56
percentage-of-companies-aged-40-44-years,in-liquidation/course-of-dissolution,0.94
percentage-of-companies-aged-45-49-years,in-liquidation/course-of-dissolution,0.61
percentage-of-companies-aged-more-than-50-years,in-liquidation/course-of-dissolution,1.63
average-age-of-companies-years,in-liquidation/course-of-dissolution,8.72
percentage-of-companies-aged-less-than-1-year,effective-register,15.5
percentage-of-companies-aged-1-4-years,effective-register,34.87
percentage-of-companies-aged-5-9-years,effective-register,21.34
percentage-of-companies-aged-10-14-years,effective-register,10.41
percentage-of-companies-aged-15-19-years,effective-register,7.73
percentage-of-companies-aged-20-24-years,effective-register,3.75
percentage-of-companies-aged-25-29-years,effective-register,1.89
percentage-of-companies-aged-30-34-years,effective-register,1.31
percentage-of-companies-aged-35-39-years,effective-register,0.95
percentage-of-companies-aged-40-44-years,effective-register,0.56
percentage-of-companies-aged-45-49-years,effective-register,0.42
percentage-of-companies-aged-more-than-50-years,effective-register,1.26
average-age-of-companies-years,effective-register,8.56
